ID	altura	diametro	inclinacion	especie	origen	brotes
45909	14	52	20	Jacaranda	Nativo/Autoctono	6
45916	18	80	0	Casuarina	Exotico	2
46049	5	22	23	Ficus	Exotico	2
46055	18	69	12	Alamo	Exotico	4
46351	17	70	0	Jacaranda	Nativo/Autoctono	4
46376	17	30	0	Palo borracho	Nativo/Autoctono	8
46502	9	50	0	Palo borracho	Nativo/Autoctono	5
46516	15	70	6	Eucalipto	Exotico	2
46597	18	66	0	Jacaranda	Nativo/Autoctono	5
47045	19	115	22	Eucalipto	Exotico	4
47601	17	27	10	Alamo	Exotico	3
47669	8	76	0	Ceibo	Nativo/Autoctono	4
47679	9	39	0	Palo borracho	Nativo/Autoctono	4
48295	13	49	0	Palo borracho	Nativo/Autoctono	7
48421	10	25	10	Jacaranda	Nativo/Autoctono	4
48596	13	48	0	Palo borracho	Nativo/Autoctono	5
48857	21	23	0	Alamo	Exotico	5
48991	26	60	0	Eucalipto	Exotico	4
49018	7	25	0	Alamo	Exotico	2
49025	16	29	0	Alamo	Exotico	3
49082	18	22	0	Alamo	Exotico	3
49142	15	30	0	Casuarina	Exotico	2
49157	15	40	5	Jacaranda	Nativo/Autoctono	3
49585	13	54	7	Fresno	Exotico	3
49607	4	26	10	Ceibo	Nativo/Autoctono	3
49628	14	38	18	Eucalipto	Exotico	3
49854	6	32	17	Jacaranda	Nativo/Autoctono	6
49863	13	62	0	Fresno	Exotico	4
50367	16	20	0	Acacia	Nativo/Autoctono	5
50377	12	24	0	Palo borracho	Nativo/Autoctono	4
50743	9	41	0	Fresno	Exotico	1
50934	12	40	0	Casuarina	Exotico	2
51029	19	17	0	Casuarina	Exotico	4
51092	19	30	0	Casuarina	Exotico	3
51216	10	15	0	Casuarina	Exotico	1
51257	22	61	25	Casuarina	Exotico	4
51384	15	35	10	Alamo	Exotico	4
51628	18	44	9	Fresno	Exotico	3
51637	7	21	19	Acacia	Exotico	3
51699	10	16	0	Alamo	Exotico	3
51707	4	56	11	Ceibo	Nativo/Autoctono	4
